Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
205/55R17, 25.9", 8.5", 5.5-7.5", 6.5", 10/32", SL, 1356, 51, 27, 804
225/45R18, 25.9", 8.9", 7-8.5", 7.5", 9/32", SL, 1356, 51, 26, 804
235/45R19, 27.3", 9.2", 7.5-9", 8", 9/32", SL, 1521, 51, 28, 762
255/50R19, 29.2", 10.4", 7-9", 8", 10/32", SL, 1929, 51, 43, 713
255/50R19, 29.2", 10.4", 7-9", 8", 10/32", XL, 2149, 50, 44, 713
255/50R19, 29.2", 10.4", 7-9", 8", 10/32", XL, 2149, 50, 44, 713
285/45R19, 29.2", 11.2", 9-10.5", 9.5", 10/32", XL, 2403, 50, 44, 713
285/45R19, 29.2", 11.2", 9-10.5", 9.5", 10/32", XL, 2403, 50, 44, 713
255/45R20, 29.1", 10", 8-9.5", 8.5", 10/32", SL, 1819, 51, 33, 717
265/45R20, NA, NA, 8.5-10", 9", 10/32", SL, 1984, 51, 37, NA
275/40R20, 28.7", 10.9", 9-11", 9.5", 11/32", XL, 2094, 50, 41, 726
275/40R20, 28.7", 10.9", 9-11", 9.5", 11/32", XL, 2094, 50, 41, 727
315/35R20, 28.7", 12.6", 10.5-12.5", 11", 11/32", XL, 2337, 50, 47, 727
315/35R20, 28.7", 12.6", 10.5-12.5", 11", 11/32", XL, 2337, 50, 47, 726
