Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
235/60R18, 29.1", 9.4", 6.5-8.5", 7", 9/32", SL, 1929, 51, 30, 714
255/55R18, 29", 10.4", 7-9", 8", 10/32", SL, 2039, 51, 31, 716
255/55R18, 29", 10.4", 7-9", 8", 9/32", SL, 2039, 51, 32, 716
235/55R19, 29.2", 9.6", 6.5-8.5", 7.5", 8/32", SL, 1819, 51, 28.2, 711
235/55R19, 29.2", 9.6", 6.5-8.5", 7.5", 9/32", XL, 2039, 51, 31, 711
255/55R19, 30", 10.4", 7-9", 8", 10/32", XL, 2403, 51, 34, 692
255/50R20, 30", 10.3", 7-9", 8", 10/32", XL, 2271, 50, 32.3, 692
265/45ZR20, 29.4", 10.5", 8.5-10", 9", 9/32", XL, 2205, 51, 31, 707
265/45ZR20, 29.4", 10.5", 8.5-10", 9", 9/32", SL, 1984, 51, 31, 707
285/45R20, NA, NA, 9-10.5", 9.5", 9/32", XL, 2469, 50, 34, NA
295/40R20, 29.3", 11.9", 10-11.5", 10.5", 9/32", SL, 2094, 51, 33.1, 709
265/40ZR21, 29.2", 10.7", 9-10.5", 9.5", 9/32", SL, 1819, 51, 31, 711
275/45R21, 30.7", 10.7", 8.5-10.5", 9", 9/32", SL, 2337, 51, 35.3, 677
285/40R21, 30", 11.4", 9.5-11", 10", 9/32", XL, 2271, 50, 34, 693
295/35ZR21, 29.1", 11.9", 10-11.5", 10.5", 9/32", SL, 1929, 51, 30, 714
295/40ZR21, 30.3", 11.9", 10-11.5", 10.5", 9/32", XL, 2403, 51, 37, 686
265/40R22, 30.3", 10.7", 9-10.5", 9.5", 9/32", XL, 2094, 51, 31.8, 686
275/40R22, 30.7", 10.9", 9-10.5", 9.5", 9/32", XL, 2205, 51, 36, 677
295/40R22, 31.3", 11.6", 10-11.5", 10.5", 9/32", XL, 2469, 51, 37, 664
