Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
255/65R16, 29.1", 10.2", 7-9", 7.5", 11/32", SL, 2271, 51, 31.2, 714
275/70R16, 31.2", 10.9", 7-9", 8", 10/32", SL, 2601, 44, 35.7, 666
225/55R17, 26.7", 8.9", 6-8", 7", 10/32", SL, 1609, 51, 26, 779
235/65R17, 29.03", 9.25", 6.5-8.5", 7", 11/32", XL, 2205, 50, NA, 716
255/60R17, 29", 10.2", 7-9", 7.5", 11/32", SL, 2094, 51, 29.4, 716
275/55R17, 28.9", 11.2", 7.5-9.5", 8.5", 10/32", SL, 2271, 51, 32.9, 719
235/60R18, 29.1", 9.4", 6.5-8.5", 7", 10/32", XL, 2150, 51, 29, 714
255/55ZR18, 29", 10.4", 7-9", 8", 10/32", XL, 2271, 51, 29.3, 716
255/50R19, 29", 10.4", 7-9", 8", 10/32", XL, 2150, 51, 31.5, 716
255/55R19, 30", 10.4", 7-9", 8", 10/32", XL, 2403, 51, 33.3, 692
255/45R20, 29", 10", 8-9.5", 8.5", 10/32", XL, 2039, 51, 33, 716
275/45R20, 29.7", 10.7", 8.5-10", 9", 10/32", XL, 2337, 51, 31.9, 699
275/55R20, 31.9", 11.2", 7-9.5", 8.5", 10/32", XL, 2833, 51, 36.2, 651
285/50R20, 31.2", 11.7", 8-10", 9", 10/32", SL, 2469, 51, 36.1, 666
295/45R20, 30.5", 11.7", 9.5-11", 10", 10/32", XL, 2601, 51, 38.4, 681
295/50R20, 31.6", 12.1", 8-10.5", 9.5", 10/32", XL, 2910, 51, 40.8, 657
305/40R22, 31.6", 12.3", 10-12", 11", 10/32", XL, 2601, 51, 37.7, 657
305/45R22, 32.8", 12", 9.5-11", 10", 10/32", XL, 2910, 51, 43.1, 633
305/40R23, 32.6", 12.3", 10-12", 11", 10/32", XL, 2679, 51, 41.2, 637
305/35R24, 32.4", 12.3", 10-12", 11", 10/32", XL, 2469, 51, 41, 641
315/35R24, 32.68", 12.4", 10.5-12.5", 11", 11/32", XL, 2602, 50, NA, 636
