Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
235/60R18, 29.1", 9.3", 6.5-8.5", 7", 10/32", SL, 1929, 51, 32, 714
255/55R18, 29", 10", 7-9", 8", 10/32", SL, 2039, 51, 35, 716
235/55ZR19, 29.2", 9.6", 6.5-8.5", 7.5", 10/32", SL, 1819, 51, 27, 712
235/55ZR19, 29.2", 9.6", 6.5-8.5", 7.5", 10/32", SL, 1819, 51, 33, 712
245/45R19, 27.4", 10", 7.5-9", 8", 10/32", SL, 1653, 51, 29, 759
255/50R19, 29.1", 10.4", 7-9", 8", 10/32", SL, 1929, 51, 33, 714
255/50ZR19, 29.1", 10.4", 7-9", 8", 10/32", XL, 2149, 50, 33, 694
275/45ZR19, 28.8", 10.7", 8.5-10.5", 9", 10/32", XL, 2205, 50, 32, 701
275/55R19, 30.9", 11.1", 7.5-9.5", 8.5", 10/32", SL, 2403, 51, 35, 653
235/45ZR20, 28.3", 9.2", 7.5-9", 8", 10/32", XL, 1764, 50, 27, 712
255/45ZR20, 29.1", 10", 8-9.5", 8.5", 10/32", XL, 2039, 50, 30, 694
265/45ZR20, 29.4", 10.4", 8.5-10", 9", 10/32", XL, 2205, 50, 32, 687
275/40ZR20, 28.7", 10.9", 9-10.5", 9.5", 10/32", XL, 2094, 50, 32, 704
275/45ZR20, 29.8", 10.7", 8.5-10.5", 9", 10/32", XL, 2337, 50, 35, 678
275/50ZR20, 30.8", 11.1", 7.5-9.5", 8.5", 10/32", SL, 2271, 51, 35, 654
315/35ZR20, 28.7", 12.5", 10.5-12.5", 11", 9.4/32", XL, 2337, 50, 35, 704
295/35ZR21, 29.1", 11.8", 10-11.5", 10.5", 10/32", XL, 2149, 50, 33, 694
295/40ZR21, 30.3", 11.8", 10-11.5", 10.5", 10/32", XL, 2403, 50, 37, 666
