Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
235/60R18, 29.1", 9.5", 6.5-8.5", 7", 8.5/32", SL, 1929, 51, 31, 715
255/55R18, 29", 10.4", 7-9", 8", 10/32", XL, 2271, 50, 32, 716
235/55R19, 29.2", 9.7", 6.5-8.5", 7.5", 8.5/32", SL, 1819, 51, 32, 713
275/45ZR19, 28.8", 10.8", 8.5-10.5", 9", 8/32", XL, 2205, 50, 32, 723
275/55R19, 30.9", 11.2", 7.5-9.5", 8.5", 9/32", SL, 2403, 51, 39, 673
245/45R20, 28.7", 9.6", 7.5-9", 8", 8.5/32", SL, 1709, 51, 29, 726
255/45R20, 29.1", 10", 8-9.5", 8.5", 8.5/32", SL, 1819, 51, 29, 716
255/55R20, 31", 10.4", 7-9", 8", 8.5/32", XL, 2337, 50, 30, 671
275/45R20, 29.8", 10.8", 8.5-10.5", 9", 8.5/32", XL, 2337, 50, 33, 699
275/50R20, 30.9", 11.2", 7.5-9.5", 8.5", 8.5/32", SL, 2271, 51, 39, 674
275/45R21, 30.8", 10.7", 8.5-10.5", 9", 8.5/32", XL, 2337, 50, 36, 676
295/35ZR21, 29.1", 11.9", 10-11.5", 10.5", 8.5/32", XL, 2149, 50, 33, 715
