Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
225/65R17, 28.5", 9", 6-8", 6.5", 8.5/32", XL, 2094, 50, 26, 730
235/60R18, 29.1", 9.4", 6.5-8.5", 7", 8/32", SL, 1929, 51, 29, 714
255/55R18, 29", 10.43", 7-9", 8", 8/32", SL, 2039, 51, 30.4, 716
235/55R19, 29.2", 9.3", 6.5-8.5", 7.5", 8/32", SL, 1819, 51, 31, 712
255/50R19, 29", 10", 7-9", 8", 8/32", SL, 1929, 51, 33, 716
265/50R19, 29.5", 10.9", 7.5-9.5", 8.5", 8.5/32", XL, 2337, 50, 32, 705
255/45R20, 29.1", 10", 8-9.5", 8.5", 8.5/32", SL, 1819, 51, 30, 716
255/45R20, 29.1", 10", 8-9.5", 8.5", 8.5/32", XL, 2039, 50, 31, 716
265/45R20, 29.4", 10.7", 8.5-10", 9", 8/32", SL, 1984, 51, 29.9, 707
275/45R20, 29.8", 10.7", 8.5-10.5", 9", 8.5/32", XL, 2337, 50, 35, 699
285/40ZR20, 29", 11.4", 9.5-11", 10", 8.5/32", XL, 2205, 51, 34, 718
295/40R20, 29.3", 11.5", 10-11.5", 10.5", 8/32", SL, 2094, 51, 31.6, 709
265/40R21, 29.3", 10.6", 9-10.5", 9.5", 8.5/32", SL, 1819, 51, 29, 709
295/35R21, 29.1", 11.8", 10-11.5", 10.5", 8.5/32", XL, 2149, 50, 30, 715
295/35R21, 29.1", 11.8", 10-11.5", 10.5", 8.5/32", SL, 1929, 51, 30, 715
