Size, Diameter, Width, Rim_Range, Measured_Rim, Tread_Depth, Load_Range, Max_Load(lbs), Max_psi, Weight(lbs), Revs/Mile
235/60R18, 29.1", 9.4", 6.5-8.5", 7", 10/32", SL, 1929, 51, 31, 714
235/60R18, 29.1", 9.4", 6.5-8.5", 7", 10/32", SL, 1929, 51, 31, 714
255/55R18, 29", 10.4", 7-9", 8", 10/32", SL, 2039, 51, 33, 716
255/60R18, 30", 10.2", 7-9", 7.5", 10/32", XL, 2469, 50, 33, 693
235/55R19, 29.2", 9.6", 6.5-8.5", 7.5", 11/32", SL, 1819, 51, 31, 712
235/55R19, 29.2", 9.6", 6.5-8.5", 7.5", 11/32", SL, 1819, 51, 31, 712
255/50R19, 29.1", 10.4", 7-9", 8", 10/32", SL, 1929, 51, 33, 714
255/50R19, 29.1", 10.3", 7-9", 8", 11/32", SL, 1929, 51, 31, 714
255/45R20, 29.1", 10", 8-9.5", 8.5", 10/32", SL, 1819, 51, 34, 714
265/45R20, 29.5", 10.6", 8.5-10", 9", 11/32", SL, 1984, 51, 33, 705
275/40R21, 29.6", 10.9", 9-11", 9.5", 10/32", XL, 2149, 50, 33, 702
285/40R21, 30", 11.4", 9.5-11", 10", 11/32", XL, 2271, 50, 35, 693
275/35R22, 29.6", 10.9", 9-11", 9.5", 10/32", XL, 1984, 50, 34, 702
